source_file,status,error,target_id,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss,gap,membership_convention,n_member,n_nonmember,fpr_resolution,meta_target_id,meta_experiment,meta_role,meta_dataset,meta_architecture,meta_fm_kind,meta_n_wires,meta_reps,meta_depth,meta_ql_ent,meta_ql_op,meta_model_seed,meta_data_seed,meta_seed,meta_structural_cell_id,meta_membership_convention,resource_trainable_parameters_total,resource_trainable_parameters_quantum,resource_trainable_parameters_classical,resource_trainable_parameters_unclassified,resource_quantum_gate_count_total,resource_quantum_one_qubit_gates,resource_quantum_two_qubit_gates,resource_gate_count_scope,resource_qcnn_frontend_included,experiment,role,dataset,architecture,fm_kind,n_wires,reps,depth,ql_ent,ql_op,model_seed,data_seed,seed,structural_cell_id
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_z_r5_d6_s44/target_attack_data.pt,ok,,SmokeFactorial_z_r5_d6_s44,0.84,0.16000000000000003,0.733,0.267,0.743,0.257,0.09699999999999998,0=member,30,30,0.03333333333333333,SmokeFactorial_z_r5_d6_s44,multiseed_factorial,z_r5_d6,MNIST,qnn,z,6,5,6,linear,crz,44,43,44,z_r5_d6,0=member,168,100,68,0,150,100,50,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r5_d6,MNIST,qnn,z,6,5,6,linear,crz,44,43,44,z_r5_d6
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_z_r5_d6_s45/target_attack_data.pt,ok,,SmokeFactorial_z_r5_d6_s45,0.84,0.16000000000000003,0.731,0.269,0.741,0.259,0.09899999999999998,0=member,30,30,0.03333333333333333,SmokeFactorial_z_r5_d6_s45,multiseed_factorial,z_r5_d6,MNIST,qnn,z,6,5,6,linear,crz,45,43,45,z_r5_d6,0=member,168,100,68,0,150,100,50,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r5_d6,MNIST,qnn,z,6,5,6,linear,crz,45,43,45,z_r5_d6
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d2_s43/target_attack_data.pt,ok,,SmokeFactorial_zz_r1_d2_s43,0.82,0.18000000000000005,0.7619999999999999,0.2380000000000001,0.7719999999999999,0.2280000000000001,0.04800000000000004,0=member,30,30,0.03333333333333333,SmokeFactorial_zz_r1_d2_s43,multiseed_factorial,zz_r1_d2,MNIST,qnn,zz,6,1,2,linear,crz,43,43,43,zz_r1_d2,0=member,96,57,39,0,72,48,24,fixed encoder plus downstream variational circuit,,multiseed_factorial,zz_r1_d2,MNIST,qnn,zz,6,1,2,linear,crz,43,43,43,zz_r1_d2
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d2_s44/target_attack_data.pt,ok,,SmokeFactorial_zz_r1_d2_s44,0.82,0.18000000000000005,0.7599999999999999,0.2400000000000001,0.7699999999999999,0.2300000000000001,0.050000000000000044,0=member,30,30,0.03333333333333333,SmokeFactorial_zz_r1_d2_s44,multiseed_factorial,zz_r1_d2,MNIST,qnn,zz,6,1,2,linear,crz,44,43,44,zz_r1_d2,0=member,96,57,39,0,72,48,24,fixed encoder plus downstream variational circuit,,multiseed_factorial,zz_r1_d2,MNIST,qnn,zz,6,1,2,linear,crz,44,43,44,zz_r1_d2
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d2_s45/target_attack_data.pt,ok,,SmokeFactorial_zz_r1_d2_s45,0.82,0.18000000000000005,0.7579999999999999,0.2420000000000001,0.7679999999999999,0.2320000000000001,0.052000000000000046,0=member,30,30,0.03333333333333333,SmokeFactorial_zz_r1_d2_s45,multiseed_factorial,zz_r1_d2,MNIST,qnn,zz,6,1,2,linear,crz,45,43,45,zz_r1_d2,0=member,96,57,39,0,72,48,24,fixed encoder plus downstream variational circuit,,multiseed_factorial,zz_r1_d2,MNIST,qnn,zz,6,1,2,linear,crz,45,43,45,zz_r1_d2
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d6_s43/target_attack_data.pt,ok,,SmokeFactorial_zz_r1_d6_s43,0.82,0.18000000000000005,0.75,0.25,0.76,0.24,0.05999999999999994,0=member,30,30,0.03333333333333333,SmokeFactorial_zz_r1_d6_s43,multiseed_factorial,zz_r1_d6,MNIST,qnn,zz,6,1,6,linear,crz,43,43,43,zz_r1_d6,0=member,168,100,68,0,112,74,38,fixed encoder plus downstream variational circuit,,multiseed_factorial,zz_r1_d6,MNIST,qnn,zz,6,1,6,linear,crz,43,43,43,zz_r1_d6
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d6_s44/target_attack_data.pt,ok,,SmokeFactorial_zz_r1_d6_s44,0.82,0.18000000000000005,0.748,0.252,0.758,0.242,0.061999999999999944,0=member,30,30,0.03333333333333333,SmokeFactorial_zz_r1_d6_s44,multiseed_factorial,zz_r1_d6,MNIST,qnn,zz,6,1,6,linear,crz,44,43,44,zz_r1_d6,0=member,168,100,68,0,112,74,38,fixed encoder plus downstream variational circuit,,multiseed_factorial,zz_r1_d6,MNIST,qnn,zz,6,1,6,linear,crz,44,43,44,zz_r1_d6
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d6_s45/target_attack_data.pt,ok,,SmokeFactorial_zz_r1_d6_s45,0.82,0.18000000000000005,0.746,0.254,0.756,0.244,0.06399999999999995,0=member,30,30,0.03333333333333333,SmokeFactorial_zz_r1_d6_s45,multiseed_factorial,zz_r1_d6,MNIST,qnn,zz,6,1,6,linear,crz,45,43,45,zz_r1_d6,0=member,168,100,68,0,112,74,38,fixed encoder plus downstream variational circuit,,multiseed_factorial,zz_r1_d6,MNIST,qnn,zz,6,1,6,linear,crz,45,43,45,zz_r1_d6
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d2_s43/target_attack_data.pt,ok,,SmokeFactorial_zz_r5_d2_s43,0.84,0.16000000000000003,0.7569999999999999,0.2430000000000001,0.7669999999999999,0.2330000000000001,0.07300000000000006,0=member,30,30,0.03333333333333333,SmokeFactorial_zz_r5_d2_s43,multiseed_factorial,zz_r5_d2,MNIST,qnn,zz,6,5,2,linear,crz,43,43,43,zz_r5_d2,0=member,96,57,39,0,120,80,40,fixed encoder plus downstream variational circuit,,multiseed_factorial,zz_r5_d2,MNIST,qnn,zz,6,5,2,linear,crz,43,43,43,zz_r5_d2
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d2_s44/target_attack_data.pt,ok,,SmokeFactorial_zz_r5_d2_s44,0.84,0.16000000000000003,0.7549999999999999,0.2450000000000001,0.7649999999999999,0.2350000000000001,0.07500000000000007,0=member,30,30,0.03333333333333333,SmokeFactorial_zz_r5_d2_s44,multiseed_factorial,zz_r5_d2,MNIST,qnn,zz,6,5,2,linear,crz,44,43,44,zz_r5_d2,0=member,96,57,39,0,120,80,40,fixed encoder plus downstream variational circuit,,multiseed_factorial,zz_r5_d2,MNIST,qnn,zz,6,5,2,linear,crz,44,43,44,zz_r5_d2
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d2_s45/target_attack_data.pt,ok,,SmokeFactorial_zz_r5_d2_s45,0.84,0.16000000000000003,0.7529999999999999,0.2470000000000001,0.7629999999999999,0.2370000000000001,0.07700000000000007,0=member,30,30,0.03333333333333333,SmokeFactorial_zz_r5_d2_s45,multiseed_factorial,zz_r5_d2,MNIST,qnn,zz,6,5,2,linear,crz,45,43,45,zz_r5_d2,0=member,96,57,39,0,120,80,40,fixed encoder plus downstream variational circuit,,multiseed_factorial,zz_r5_d2,MNIST,qnn,zz,6,5,2,linear,crz,45,43,45,zz_r5_d2
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d6_s43/target_attack_data.pt,ok,,SmokeFactorial_zz_r5_d6_s43,0.84,0.16000000000000003,0.745,0.255,0.755,0.245,0.08499999999999996,0=member,30,30,0.03333333333333333,SmokeFactorial_zz_r5_d6_s43,multiseed_factorial,zz_r5_d6,MNIST,qnn,zz,6,5,6,linear,crz,43,43,43,zz_r5_d6,0=member,168,100,68,0,160,106,54,fixed encoder plus downstream variational circuit,,multiseed_factorial,zz_r5_d6,MNIST,qnn,zz,6,5,6,linear,crz,43,43,43,zz_r5_d6
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d6_s44/target_attack_data.pt,ok,,SmokeFactorial_zz_r5_d6_s44,0.84,0.16000000000000003,0.743,0.257,0.753,0.247,0.08699999999999997,0=member,30,30,0.03333333333333333,SmokeFactorial_zz_r5_d6_s44,multiseed_factorial,zz_r5_d6,MNIST,qnn,zz,6,5,6,linear,crz,44,43,44,zz_r5_d6,0=member,168,100,68,0,160,106,54,fixed encoder plus downstream variational circuit,,multiseed_factorial,zz_r5_d6,MNIST,qnn,zz,6,5,6,linear,crz,44,43,44,zz_r5_d6
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d6_s45/target_attack_data.pt,ok,,SmokeFactorial_zz_r5_d6_s45,0.84,0.16000000000000003,0.741,0.259,0.751,0.249,0.08899999999999997,0=member,30,30,0.03333333333333333,SmokeFactorial_zz_r5_d6_s45,multiseed_factorial,zz_r5_d6,MNIST,qnn,zz,6,5,6,linear,crz,45,43,45,zz_r5_d6,0=member,168,100,68,0,160,106,54,fixed encoder plus downstream variational circuit,,multiseed_factorial,zz_r5_d6,MNIST,qnn,zz,6,5,6,linear,crz,45,43,45,zz_r5_d6
