target_id,experiment,dataset,architecture,role,seed,model_seed,data_seed,structural_cell_id,fm_kind,reps,depth,attack,access,auc,auc_record_ci95_low,auc_record_ci95_high,valid_record_bootstrap_replicates,tpr_at_0_05_fpr,attained_fpr_for_0_05,tpr_at_0_10_fpr,attained_fpr_for_0_10,n_member,n_nonmember,anchors,binary_steps,mean_label_queries,initial_accuracy,score_definition,scope_note,ci_method,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,threshold_median,threshold_folds,sample_score_file
MNIST_QNN_eff_su2_r5_d6_s44,multiseed_factorial,MNIST,QNN,eff_su2_r5_d6,44,44,43,eff_su2_r5_d6,eff_su2,5,6,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.5883875,0.532948125,0.643875,5000,0.095,0.04,0.15,0.1,200,200,16,10,140.2,0.87,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.5625,0.125,0.875,0.75,1.6467727422714231,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_eff_su2_r5_d6_s44.csv
MNIST_QNN_eff_su2_r5_d6_s45,multiseed_factorial,MNIST,QNN,eff_su2_r5_d6,45,45,43,eff_su2_r5_d6,eff_su2,5,6,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.6156625000000001,0.5608221875,0.6693518749999999,5000,0.045,0.045,0.19,0.1,200,200,16,10,140.2,0.87,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.5975,0.1949999999999999,0.86,0.665,3.0161848068237305,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_eff_su2_r5_d6_s45.csv
MNIST_QNN_z_r1_d2_s43,multiseed_factorial,MNIST,QNN,z_r1_d2,43,43,43,z_r1_d2,z,1,2,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.5085000000000001,0.452373125,0.562403125,5000,0.03,0.05,0.12,0.09,200,200,16,10,127.8,0.7925,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.4874999999999999,-0.025,0.565,0.59,4.158988952636719,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_z_r1_d2_s43.csv
MNIST_QNN_z_r1_d2_s44,multiseed_factorial,MNIST,QNN,z_r1_d2,44,44,43,z_r1_d2,z,1,2,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.4992125,0.4423,0.5556546874999999,5000,0.02,0.035,0.055,0.09,200,200,16,10,125.8,0.78,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.5,0.0,0.66,0.66,3.3915770053863525,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_z_r1_d2_s44.csv
MNIST_QNN_z_r1_d2_s45,multiseed_factorial,MNIST,QNN,z_r1_d2,45,45,43,z_r1_d2,z,1,2,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.5383,0.4829875,0.5940512499999999,5000,0.065,0.045,0.125,0.1,200,200,16,10,127.8,0.7925,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.53,0.0599999999999999,0.715,0.655,1.787743330001831,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_z_r1_d2_s45.csv
MNIST_QNN_z_r1_d6_s43,multiseed_factorial,MNIST,QNN,z_r1_d6,43,43,43,z_r1_d6,z,1,6,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.5763750000000001,0.5208987500000001,0.6323090624999999,5000,0.06,0.05,0.12,0.095,200,200,16,10,131.0,0.8125,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.59,0.1799999999999999,0.845,0.665,0.6627464890480042,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_z_r1_d6_s43.csv
MNIST_QNN_z_r1_d6_s44,multiseed_factorial,MNIST,QNN,z_r1_d6,44,44,43,z_r1_d6,z,1,6,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.5666375000000001,0.5119096875,0.624175,5000,0.045,0.035,0.145,0.1,200,200,16,10,133.0,0.825,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.5475,0.095,0.795,0.7,0.3947239518165588,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_z_r1_d6_s44.csv
MNIST_QNN_z_r1_d6_s45,multiseed_factorial,MNIST,QNN,z_r1_d6,45,45,43,z_r1_d6,z,1,6,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.5916999999999999,0.536499375,0.645425,5000,0.075,0.05,0.14,0.1,200,200,16,10,136.6,0.8475,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.5825,0.1649999999999999,0.715,0.55,4.383853435516357,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_z_r1_d6_s45.csv
MNIST_QNN_z_r5_d2_s43,multiseed_factorial,MNIST,QNN,z_r5_d2,43,43,43,z_r5_d2,z,5,2,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.6110625,0.557298125,0.6623890625,5000,0.065,0.05,0.16,0.095,200,200,16,10,89.0,0.55,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.5974999999999999,0.195,0.505,0.31,2.437122106552124,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_z_r5_d2_s43.csv
MNIST_QNN_z_r5_d2_s44,multiseed_factorial,MNIST,QNN,z_r5_d2,44,44,43,z_r5_d2,z,5,2,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.6058250000000001,0.5538246875,0.6576275,5000,0.075,0.05,0.16,0.1,200,200,16,10,84.2,0.52,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.5875,0.175,0.525,0.35,1.5719908475875854,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_z_r5_d2_s44.csv
MNIST_QNN_z_r5_d2_s45,multiseed_factorial,MNIST,QNN,z_r5_d2,45,45,43,z_r5_d2,z,5,2,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.621375,0.5697596875,0.673151875,5000,0.1,0.04,0.145,0.095,200,200,16,10,85.4,0.5275,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.6125,0.2249999999999999,0.63,0.405,0.3530281186103821,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_z_r5_d2_s45.csv
MNIST_QNN_z_r5_d6_s43,multiseed_factorial,MNIST,QNN,z_r5_d6,43,43,43,z_r5_d6,z,5,6,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.6592875,0.60472375,0.7115634375,5000,0.09,0.045,0.16,0.085,200,200,16,10,96.2,0.595,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.625,0.25,0.685,0.435,0.3457258641719818,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_z_r5_d6_s43.csv
MNIST_QNN_z_r5_d6_s44,multiseed_factorial,MNIST,QNN,z_r5_d6,44,44,43,z_r5_d6,z,5,6,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.645375,0.593424375,0.6989771874999999,5000,0.095,0.05,0.14,0.1,200,200,16,10,96.6,0.5975,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.645,0.29,0.725,0.435,0.2446594685316085,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_z_r5_d6_s44.csv
MNIST_QNN_z_r5_d6_s45,multiseed_factorial,MNIST,QNN,z_r5_d6,45,45,43,z_r5_d6,z,5,6,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.648225,0.5953221875,0.7004003125,5000,0.11,0.05,0.18,0.1,200,200,16,10,95.4,0.59,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.645,0.29,0.73,0.44,0.022728718817234,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_z_r5_d6_s45.csv
MNIST_QNN_zz_r1_d2_s43,multiseed_factorial,MNIST,QNN,zz_r1_d2,43,43,43,zz_r1_d2,zz,1,2,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.5549499999999999,0.499198125,0.610800625,5000,0.08,0.05,0.105,0.1,200,200,16,10,125.8,0.78,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.5675,0.135,0.845,0.71,0.1715926229953766,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_zz_r1_d2_s43.csv
MNIST_QNN_zz_r1_d2_s44,multiseed_factorial,MNIST,QNN,zz_r1_d2,44,44,43,zz_r1_d2,zz,1,2,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.5242,0.4676234375,0.5798556249999999,5000,0.035,0.045,0.09,0.1,200,200,16,10,117.8,0.73,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.5575,0.1149999999999999,0.765,0.65,0.7627465128898621,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_zz_r1_d2_s44.csv
MNIST_QNN_zz_r1_d2_s45,multiseed_factorial,MNIST,QNN,zz_r1_d2,45,45,43,zz_r1_d2,zz,1,2,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.5380499999999999,0.4825871875,0.59440125,5000,0.055,0.035,0.115,0.1,200,200,16,10,125.0,0.775,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.55,0.0999999999999999,0.7,0.6,2.4496638774871826,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_zz_r1_d2_s45.csv
MNIST_QNN_zz_r1_d6_s43,multiseed_factorial,MNIST,QNN,zz_r1_d6,43,43,43,zz_r1_d6,zz,1,6,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.597825,0.5405584375,0.6521781249999999,5000,0.06,0.05,0.155,0.1,200,200,16,10,134.2,0.8325,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.5725,0.145,0.855,0.71,0.54924076795578,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_zz_r1_d6_s43.csv
MNIST_QNN_zz_r1_d6_s44,multiseed_factorial,MNIST,QNN,zz_r1_d6,44,44,43,zz_r1_d6,zz,1,6,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.59185,0.536070625,0.646575,5000,0.065,0.05,0.12,0.095,200,200,16,10,131.8,0.8175,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.595,0.19,0.88,0.69,0.9492027163505554,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_zz_r1_d6_s44.csv
MNIST_QNN_zz_r1_d6_s45,multiseed_factorial,MNIST,QNN,zz_r1_d6,45,45,43,zz_r1_d6,zz,1,6,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.646175,0.5913925,0.6978884375,5000,0.11,0.045,0.15,0.09,200,200,16,10,132.6,0.8225,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.6225,0.245,0.91,0.665,0.995854377746582,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_zz_r1_d6_s45.csv
MNIST_QNN_zz_r5_d2_s43,multiseed_factorial,MNIST,QNN,zz_r5_d2,43,43,43,zz_r5_d2,zz,5,2,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.5932,0.5406859374999999,0.6455012499999999,5000,0.075,0.045,0.11,0.1,200,200,16,10,99.4,0.615,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.6,0.1999999999999999,0.705,0.505,0.0533439442515373,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_zz_r5_d2_s43.csv
MNIST_QNN_zz_r5_d2_s44,multiseed_factorial,MNIST,QNN,zz_r5_d2,44,44,43,zz_r5_d2,zz,5,2,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.584375,0.5300990625,0.6408768749999999,5000,0.07,0.05,0.125,0.09,200,200,16,10,98.6,0.61,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.55,0.0999999999999999,0.6,0.5,0.3606387376785278,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_zz_r5_d2_s44.csv
MNIST_QNN_zz_r5_d2_s45,multiseed_factorial,MNIST,QNN,zz_r5_d2,45,45,43,zz_r5_d2,zz,5,2,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.625425,0.5728746875,0.6787275,5000,0.125,0.045,0.205,0.095,200,200,16,10,98.6,0.61,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.605,0.21,0.51,0.3,2.5586862564086914,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_zz_r5_d2_s45.csv
MNIST_QNN_zz_r5_d6_s43,multiseed_factorial,MNIST,QNN,zz_r5_d6,43,43,43,zz_r5_d6,zz,5,6,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.65325,0.59924875,0.7067512499999999,5000,0.075,0.05,0.165,0.1,200,200,16,10,111.0,0.6875,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.6675,0.3350000000000001,0.805,0.47,0.8352289199829102,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_zz_r5_d6_s43.csv
MNIST_QNN_zz_r5_d6_s44,multiseed_factorial,MNIST,QNN,zz_r5_d6,44,44,43,zz_r5_d6,zz,5,6,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.6616249999999999,0.6073496875,0.713826875,5000,0.08,0.05,0.15,0.095,200,200,16,10,115.0,0.7125,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.6525,0.3049999999999999,0.815,0.51,0.7390622496604919,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_zz_r5_d6_s44.csv
